Timestamp, LinkStatus, FirmwareVersion, Profile, Upstream, Downstream, SNR1, SNR2
1594475964, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 14, 17
1594475974, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594475984, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594475995, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 14, 17
1594476005, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 12, 17
1594476015, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594476025, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594476035, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594476045, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594476055, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594476065, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 11, 17
1594476076, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594476086, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594476096, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594476106, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 12, 17
1594476116, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594476126, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594476136, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594476147, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594476157, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594476167, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 12, 17
